"current_owner","count"
"0x9Fe9FA7859C6Bcbb4eb0ADB958bFA03f4312437B","1"
"0x6cA54Ea354584b4fc093DAd9d3Fe92e3cDF16DA4","1"
"0x4e5C500eF009ec8bC4b06E27c8D0E5Acd1aBc610","1"
"0x14Dbfd30666A7cB745020CBf85c24e9E36D754F5","1"
"0xC3371Ef8911F8661533C54A0a7Ef76cd6d755D33","1"
"0x12C42863d7D2B0e339afDB0B97613116b8FE7318","1"
"0x10472FEa972D9ddE0C7ef98BD81209A4e4d13277","1"
"0x97d09c7B0F5a7247917D569Dd588A128333060CC","1"
"0x5D267CB2bF5B71E063823Cc08f05A438825D702C","1"
"0x1f227a1f569B006830daFd43AB1d99C8ceA03ecb","1"
"0x4B008E48Ab068E5AB2362c165678Ff2aa52445b7","1"
"0x9D1AdbCA7cd5C9A9B7fe85BD20B5eF97ECD91010","1"
"0x434dB8C79adcC85E32A43AE8a90143baBEf1F8DC","1"
"0x26cF3813c4f570a4dd3e095453FF7e8Ba4E3B956","1"
"0x2A32D271ad1C8bAbB11ca4a950289f6666BbBDbD","1"
"0x32886e8B768E948b8C77D9FDbe70104d16c8caf3","1"
"0x7AB8121712d9Dc1585882612a7AbdbE4D266b150","1"
"0xC8D38378AF6B85FBE3DD167EeF18d35B249e40A5","1"
"0x55a646D2dDa487345664d5e287203f1B2521291c","1"
"0xB87517fe58750FE48b129C4A463bd9e831BC4a19","1"
"0x5aF4916B95DFD6FDebAE7b13b8fFa30021812432","1"
"0x0F55AEad198C43a36a358B13501806841c845519","1"
"0x7466F271c5df1e5cC3384eb28F925d585F4A1773","1"
"0x8D804F454D46919e8BAF604390a6aC59DD419f9C","1"
"0x6D967cdE92b6490CE867519BD24f9Ea92475b38d","1"
"0xF360CB0e69F0e257fc531443f5Af247558a852e7","1"
"0x49b6E876B9A03B6C411fdD2a3C9fcab4B1ba6221","1"
"0xDEe51119838146B1Be75bEE55e4F2745cb0c67ae","1"
"0x63B9e3a1f1D24D952abf63f880F508df83B9C777","1"
"0x8754f197D73202Ffd7E274562EA1A3CAacAE6dcb","1"
"0x3fd0505ed64DE71609Bd52E1C08B64269beDcf69","1"
"0xB7D322598506DB5ba76A7aEa6E378d2A56822914","1"
"0x8f06384D68857C4333556cAc25985d56a5eBd2a8","1"
"0xf8B53253a135e14aeD6A948D25de06C0e816DF39","1"
"0x6f4B0387ee8A451D371A19b77348b2144FaB839a","1"
"0x1a70EAf5C0A439F0b58477862661924Ad7A0aceD","1"
"0x97066175C76ed82FB1E8ce5B533f3f52707b3A10","1"
"0x9a395De5675cc78FC3551232C72F60ab0757Cb0e","1"
"0x9CA8bE9Fc584a2999388acc2893e2367D66AE76C","1"
"0xAcb8Ef4C7C518A03c5Bf7ef3EdC3E0ce8414923f","1"
"0x37124AF8750735f5eE82ba14b7a229F84D8E6CDe","1"
"0xc6777896D1dc93EF8E58786E8b999F693D4a962d","1"
"0x5d577C338A0322778C385edE7d39D58282d60A5A","1"
"0x8CFcDdEC0872599C2A2008DdDc85A556059eae6e","1"
"0xd870395c6928EA061886f49c11D86c4C28fBE85D","1"
"0x42CA29076b3deeB67740150694e646036AeBf600","1"
"0x4d7D68AEF1fc24A51C8aF410d2aBfE2338AF65a1","1"
