"current_owner","count"
"0x2989b4C1990B0f91074aCCB39799D7758893dC89","103"
"0x51970de41d642b2f901d7970187358eeA66a723A","85"
"0x033a97735BCA801Ea54D8fbb78cED0C274679BE5","44"
"0x15e61C2F2d2BD7A812CAf4B267aF677D924FF305","42"
"0x9af445e6C19Fbbe092Be1640fBb18c99c69f0092","28"
"0xC8B7AEFc4A85BbEc9c2e7db9850c56edDd2800b2","26"
"0xd12c9F70ea85DD2e9a47aAE4Ed3F91D37F55562E","25"
"0x2aaf273bE94f77AB4F8D711B88aa20412dBb0687","25"
"0xc2d4D3341CEd5697f2BCEeFf6eF5dA60Bc171669","22"
"0x052627587c7fEDb75210E3f8f30Ea8e6d6bbaf23","22"
"0x287423b3080E8e23753e24EbE4918499322252E4","20"
"0xC1e13Da6Ca2AE9a709D6a13F33e44bCC97727209","19"
"0x2e15Ee8a2Ad2444bE7946322083680eBa8af904d","17"
"0xE33224bfc818102d2550746f1d6Dd4074A3Fb444","14"
"0x2Cc9722E6F32D85BA7dc98b208f357328B6F7cBE","14"
"0x1cf7e292c5F118697ba7BA12E8cA9A1Dd985a906","13"
"0xB93E541bb854DF8b9DF1aafbed2156059bbcD84D","13"
"0xb48466047d45ccaA4a0c7FC1F039b0CF90FB1EBE","12"
"0xeB4d2f4fceF8291e28adb64AddE95a9Df82ca3f9","12"
"0xBc12d832cC649130DE1096A1A6dACEBfD9f4C19D","10"
"0x0B134f1579082F8Ee05c6474512522426cE31871","10"
"0xC0fC9bfD335CDe161598070812c3d59E26863518","10"
"0xe1807c2767DDe91674d13d4211Ca67392566462c","10"
"0xB8ee2CdE5Ba1Cc8f3193748b12510691B259c7E9","10"
"0xb09E862A43b85fec17d37f0eB31586fFE9C7FbB7","9"
"0xB8B99bD4432f1eB9E25AAFb7cE95fe17f88d758F","8"
"0x8F0b02cD15aD407957946f7C29b75C3D53B87BcF","8"
"0xDf0eFD6173c36FE561B0C1939CF55d6BB9B89da0","7"
"0xfAf42A5A221fD29B4F2FD84AFeA75c17765542E0","6"
"0x0abfe2203f2a5Fe8CF3245C274E7130611c3df4E","5"
"0x6cCEE92AA207C7CA81fe8B63D30A2FCDb7f0089E","5"
"0xb8459616e81496223793C98683931F108101C7A3","5"
"0x000f6d8441669D18dC16d74A7eE44F4F42547287","5"
"0x98fe44eA7d2D8185Ee8422f27E199BBEB545C72B","5"
"0x464dd0b4E78c8246f8247e90DF5f35Bd890ae588","5"
"0x51148cC9b300877c238dc5233A141925b716d6a9","5"
"0xAfE8692Eb600410fe9CbEC0F023cccB67a72736E","4"
"0xEDE048Eb42D62E3B6f73C8983b312b3e776Bbbfc","4"
"0x0c5C815aC0384ac94c0383B83F5b7542bfF6bE5E","4"
"0x0612A05910d53De1Cdb3a0dfC8FA062d04819e94","4"
"0x5681C7A265a8E7362dB91A1Ec5D08721074e7c60","4"
"0xcA807CE609A0961CB558F32e942E9A86448DB3eC","4"
"0x6DF8007441004dD504d1c6C719F4cE9B8A37F30e","4"
"0x6F6C71982640086C47c088c3a59Df86A0190fa79","4"
"0xD9cFe7d9839Ca6B7a6487AbD4eFe507b1B2c1ca8","4"
"0x9e4AdB18870f5789F610BD66d520ad2cD175083b","4"
"0xA024625Dc05182e90b33b1Df899C0EB3D1c5678c","4"
"0xE7888Ef06ffdB8b50Bf3316063F55fd23a47E9BA","4"
"0xdc855F7E5db3770f17122Dca9dd2f22759012fB8","4"
"0xf7B7ff9348795Bcf470A8F6Eab4B4248F6413898","3"
"0xbB1E0ba6cf05ef6b1a004F37a9B458f33A198eC6","3"
"0x09143c05Cf5902FA0648CAcC876A099f6B790d22","3"
"0xD3E1d9857eA7B5f6d19cEbb9bB03cE996FD7C6E4","3"
"0xaE886759415a2f11c12501701a7C6e57823869c7","3"
"0x54D94BAde166836dE0c9033F3ba956be427e8e64","3"
"0xdCEFf482Ba326C7b47f8BA1A868A543eF1344259","3"
"0x0A7D51E1E7d41ba1FE15dF6bA8bc59B7221329aB","3"
"0xA17D58f0c80985954cd9eD5fDe216a542d08A5D4","3"
"0xe512E01B44019D23Cc97B07C949C641BdF21C1EF","3"
"0x7974Fd3958b0EBFc88429932055A2BD62ABF6a7B","2"
"0x6F77BD0C7C93b3379c4be68E4dBa8839fAe34E92","2"
"0x5Ebd18A3f0539897Fe09A0A4f319B5BE34EfDFFA","2"
"0xB5416d613057ec7A72f363A81849ADDb59Ea62CB","2"
"0xA31586eaACeA4ce131B754b25c3a11B735Aa6E29","2"
"0xe00DDBbCe59b3317BaA5e13FeC8ff524611a8e35","2"
"0x9a3d89bb25a224879907A79B6E2cba42E9516DdB","2"
"0xfcd625e08Ed35eBA028649245A6c8Cc064Db34C1","2"
"0x6051A493486d1C996aF28f17a8D83007A6E6baC9","2"
"0x27f4Cea185Af16f6Cf784359e203e0125BEA4FfB","2"
"0xa5CdfE030e98fA950aB331714d0484ADdE232654","2"
"0xb631bBEfc3E8C052084E0944525f71299cf08F3d","2"
"0x4C42040daeFB32E4c68B003d4a4362407CD5Dc74","2"
"0x3a8888afc0511a8C617F8069833CCfB2E3C65144","2"
"0xDCcE758Cc737eA9b2637ad08d94bB81D8C85b96b","2"
"0xDadAfD2d469301a55119c4092DF6bb8FE3372Ec9","2"
"0xA93bcD0f01d71dD56fBd482d2e6FF75d50732503","2"
"0x6Fbf53E37D5aC4E54f9128AAC0B5cE48DeD55cc0","2"
"0xFB1268F135f0b50Aef5Ef8c34C18E8683B80a0ef","2"
"0xE1aC7C7b3e422BC351AddD774b82c2608df4F1Ee","2"
"0x97035e8847B58568ce6A18E7e0C0Ac68fafa6138","2"
"0x299ecF45a93257CCa31C7085Ace89208796d2D27","2"
"0x3cf6B7fFb7eC44e0910c326738fC5115713885eD","2"
"0xc63FbCE647e5Dd795Ad16138b5f3C7B1E36536eF","2"
"0x778Aa65BE38B937B8c340c5DB5E105329FCb3974","2"
"0x0E1845F09B1a51f37d12994B0D7241C2cd90Be0D","2"
"0x41B511f1496322EaDC13374f3a70b197040FaEcc","2"
"0xBDF1873C5E25305b3dBc830c1F8c0F6920eAC8e0","2"
"0x6cf735Fd045F0F5534b261fF5Cfd59Adc9CF8599","1"
"0xfF59185585C41ABC4699855881bA86614aB95Bc0","1"
"0x1f56122906185CBeaA5247eeAA1dc986D10AEf03","1"
"0x2556174291310551be128F21ce284C4ffCe07585","1"
